trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,0,-19.03817984328557,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43423132679181164}",30,0,-38.07088752907182,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,9,-76.46068195305453,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,0,-45.94739969707322,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.421334222154768}",25,13,-104.90080773176584,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.41712087993322033}",35,0,-177.65335888533494,"{0: 26, 1: 2, 2: 2, 3: 1, 4: 4}",0
89,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,12,-39.11499579488479,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,9,19.750912147417907,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,12,-61.744817782117075,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.40068465295154054}",25,20,8.422410647777193,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,16,0.4765020086928844,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,7,-7.142451852953618,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,2,-49.85551666974775,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-35.55488934358995,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,0,-44.03758468744923,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,1,-73.28858638174599,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,10,-34.32260137042722,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,12,12.191352388891417,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,0,15.528676343737601,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,0,16.37345867610652,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,15,8.074782579458162,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-11.252832928711515,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,12,5.04469426563484,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.348093114492442}",30,11,25.26564469343659,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3446121833475176}",30,2,-13.098690195573154,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,6,-40.92642985516591,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.337754400898902}",20,12,-8.46984732652008,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.334376856889913}",35,13,-26.10713456347423,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,0,-15.118624600932325,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.3277227574378037}",35,8,16.297671328907597,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,11,14.599883624733542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,13,19.214984638848833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,4,24.220813681806366,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,8,7.7934297811744155,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,6,5.2703972657503115,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,15,10.329592948943366,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3054590259283046}",30,19,13.962736934235808,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30240443566902153}",20,0,-38.765646264635016,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2993803913123313}",25,15,6.211845341999292,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.296386587399208}",20,4,12.695667109396982,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2934227215252159}",35,0,-19.43091331637617,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,3,-17.04637172511124,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,0,12.197295511208182,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,10,6.951827718368703,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2818606955404635}",25,6,20.877190360847536,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27904208858505886}",25,0,-12.665696218851004,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.2762516676992083}",25,15,-36.36888736666555,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.2734891510222162}",25,9,-10.282832628112876,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,12,2.3292069637678487,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2680467169168741}",30,16,22.258841379909025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,13,9.21611160370084,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2627125872502283}",30,18,4.80328654291859,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,6,-14.728622677333387,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,10,9.017012940265575,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,9,-9.071816388041587,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2523606630893462}",25,15,-16.156990872805224,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2498370564584527}",20,14,-30.80371805937863,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,5,4.741265723268048,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,11,4.213615018953476,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,0,-7.089565036302229,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.2399924795841344}",20,8,19.643240889095306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,5,-21.4010016748594,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23521662924041012}",25,18,13.492780140999947,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.232864462948006}",20,11,17.205670853797415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,6,-67.50213730099915,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.22823046013534068}",30,16,24.110410361366977,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,8,14.88287709220736,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.2236886739786474}",30,17,18.79970022572872,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22145178723886091}",25,9,31.594904698645234,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2192372693664723}",20,6,6.64020628634345,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21704489667280757}",35,19,20.693132905012817,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2148744477060795}",25,5,-30.870547679461275,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,0,17.874340917670242,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,3,7.214462141617863,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20849246173476124}",20,12,6.829880068753005,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,0,22.181633305863702,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.2043434617462395}",20,9,10.916082056907241,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2023000271287771}",30,6,-36.58332755476692,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.2002770268574893}",25,6,25.150019345227935,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19827425658891443}",30,19,-24.35078658587145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,8,22.647771099549765,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19432859888279502}",35,26,15.814642886174578,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19238531289396707}",25,13,20.647791877735113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
